"Time","Total","Free","FS Cache","Used Memory","Pinned"
1638287520000,8192,159.498046875,4278.24609375,3754.255859375,2651.6796875
1638287640000,8192,158.2109375,4278.41796875,3755.37109375,2651.69921875
1638287760000,8192,158.205078125,4278.423828125,3755.37109375,2651.662109375
1638287880000,8192,158.158203125,4278.45703125,3755.384765625,2651.671875
1638288000000,8192,158.099609375,4278.478515625,3755.421875,2651.7265625
1638288120000,8192,157.939453125,4278.646484375,3755.4140625,2651.712890625
1638288240000,8192,157.6875,4278.662109375,3755.650390625,2651.734375
1638288360000,8192,157.892578125,4278.671875,3755.435546875,2651.7109375
1638288480000,8192,157.8828125,4278.71484375,3755.40234375,2651.67578125
1638288600000,8192,157.736328125,4278.8125,3755.451171875,2651.712890625
1638288720000,8192,155.615234375,4278.90234375,3757.482421875,2651.736328125
1638288840000,8192,157.60546875,4278.9140625,3755.48046875,2651.703125
1638288960000,8192,157.595703125,4278.921875,3755.482421875,2651.70703125
1638289080000,8192,157.6171875,4278.927734375,3755.455078125,2651.671875
1638289200000,8192,157.0546875,4279.1953125,3755.75,2651.7421875
1638289320000,8192,157.224609375,4279.23828125,3755.537109375,2651.736328125
1638289440000,8192,157.296875,4279.236328125,3755.466796875,2651.66015625
1638289560000,8192,157.26953125,4279.248046875,3755.482421875,2651.66015625
1638289680000,8192,156.369140625,4279.365234375,3756.265625,2651.833984375
1638289800000,8192,154.970703125,4279.4296875,3757.599609375,2651.787109375
1638289920000,8192,157.021484375,4279.431640625,3755.546875,2651.724609375
1638290040000,8192,156.91796875,4279.44140625,3755.640625,2651.763671875
1638290160000,8192,156.544921875,4279.490234375,3755.96484375,2651.822265625
1638290280000,8192,156.134765625,4279.751953125,3756.11328125,2651.87109375
1638290400000,8192,152.28515625,4279.75390625,3759.9609375,2651.732421875
1638290520000,8192,153.068359375,4279.755859375,3759.17578125,2651.712890625
1638290640000,8192,152.205078125,4279.77734375,3760.017578125,2651.724609375
1638290760000,8192,151.470703125,4279.87109375,3760.658203125,2651.69921875
1638290880000,8192,151.248046875,4279.96484375,3760.787109375,2651.666015625
1638291000000,8192,151.111328125,4280.009765625,3760.87890625,2651.76171875
1638291120000,8192,150.9609375,4280.01953125,3761.01953125,2651.685546875
1638291240000,8192,151.1796875,4280.037109375,3760.783203125,2651.66015625
1638291360000,8192,150.888671875,4280.208984375,3760.90234375,2651.744140625
1638291480000,8192,150.859375,4280.2421875,3760.8984375,2651.73046875
1638291600000,8192,150.86328125,4280.267578125,3760.869140625,2651.68359375
1638291720000,8192,148.798828125,4280.26953125,3762.931640625,2651.783203125
1638291840000,8192,150.431640625,4280.390625,3761.177734375,2651.998046875
1638291960000,8192,150.650390625,4280.484375,3760.865234375,2651.677734375
1638292080000,8192,150.267578125,4280.501953125,3761.23046875,2651.810546875
1638292200000,8192,150.64453125,4280.509765625,3760.845703125,2651.66796875
1638292320000,8192,150.03125,4280.525390625,3761.443359375,2651.66015625
1638292440000,8192,150.478515625,4280.64453125,3760.876953125,2651.654296875
1638292560000,8192,150.400390625,4280.732421875,3760.8671875,2651.67578125
1638292680000,8192,147.666015625,4280.76953125,3763.564453125,2651.90234375
1638292800000,8192,147.625,4280.7890625,3763.5859375,2651.9140625
1638292920000,8192,147.0390625,4280.814453125,3764.146484375,2651.9609375
1638293040000,8192,145.904296875,4281.126953125,3764.95703125,2651.966796875
1638293160000,8192,146.228515625,4281.1328125,3764.638671875,2651.900390625
1638293280000,8192,145.361328125,4281.16796875,3765.470703125,2651.990234375
1638293400000,8192,146.16015625,4281.1640625,3764.67578125,2651.923828125
1638293520000,8192,145.033203125,4281.216796875,3765.75,2652.150390625
1638293640000,8192,145.96484375,4281.390625,3764.64453125,2651.8984375
1638293760000,8192,148.587890625,4281.3984375,3762.013671875,2651.720703125
1638293880000,8192,148.6484375,4281.39453125,3761.95703125,2651.658203125
1638294000000,8192,148.392578125,4281.40234375,3762.205078125,2651.69140625
1638294120000,8192,147.92578125,4281.43359375,3762.640625,2651.82421875
1638294240000,8192,148.416015625,4281.595703125,3761.98828125,2651.693359375
1638294360000,8192,148.40234375,4281.607421875,3761.990234375,2651.6953125
1638294480000,8192,148.39453125,4281.646484375,3761.958984375,2651.669921875
1638294600000,8192,148.43359375,4281.658203125,3761.908203125,2651.619140625
1638294720000,8192,147.51953125,4281.701171875,3762.779296875,2651.86328125
1638294840000,8192,148.306640625,4281.6875,3762.005859375,2651.712890625
1638294960000,8192,148.107421875,4281.6953125,3762.197265625,2651.6640625
1638295080000,8192,146.22265625,4281.734375,3764.04296875,2651.720703125
1638295200000,8192,147.478515625,4281.7890625,3762.732421875,2651.837890625
1638295320000,8192,148.099609375,4281.80078125,3762.099609375,2651.681640625
1638295440000,8192,148.109375,4281.81640625,3762.07421875,2651.6640625
1638295560000,8192,148.138671875,4281.8203125,3762.041015625,2651.64453125
1638295680000,8192,148.087890625,4281.83203125,3762.080078125,2651.677734375
1638295800000,8192,147.900390625,4281.96484375,3762.134765625,2651.734375
1638295920000,8192,147.591796875,4282.09765625,3762.310546875,2651.68359375
1638296040000,8192,147.74609375,4282.126953125,3762.126953125,2651.712890625
1638296160000,8192,147.705078125,4282.166015625,3762.12890625,2651.728515625
1638296280000,8192,147.8046875,4282.17578125,3762.01953125,2651.6328125
1638296400000,8192,147.6796875,4282.18359375,3762.13671875,2651.7265625
1638296520000,8192,147.71484375,4282.18359375,3762.1015625,2651.6953125
1638296640000,8192,147.662109375,4282.1953125,3762.142578125,2651.7265625
1638296760000,8192,147.650390625,4282.201171875,3762.1484375,2651.728515625
1638296880000,8192,146.39453125,4282.330078125,3763.275390625,2651.923828125
1638297000000,8192,147.38671875,4282.44140625,3762.171875,2651.73828125
1638297120000,8192,147.470703125,4282.44140625,3762.087890625,2651.6796875
1638297240000,8192,146.58984375,4282.482421875,3762.927734375,2651.8828125
1638297360000,8192,154.57421875,4282.607421875,3754.818359375,2651.849609375
1638297480000,8192,165.005859375,4282.615234375,3744.376953125,2651.666015625
1638297600000,8192,165.07421875,4282.814453125,3744.111328125,2651.603515625
1638297720000,8192,164.19921875,4282.81640625,3744.984375,2651.59375
1638297840000,8192,163.265625,4282.8359375,3745.8984375,2651.642578125
1638297960000,8192,163.0390625,4282.845703125,3746.115234375,2651.6328125
1638298080000,8192,162.4609375,4282.8984375,3746.640625,2651.634765625
1638298200000,8192,161.921875,4282.95703125,3747.12109375,2651.57421875
1638298320000,8192,160.193359375,4282.9609375,3748.845703125,2651.578125
1638298440000,8192,159.962890625,4283.01171875,3749.025390625,2651.66796875
1638298560000,8192,159.98828125,4283.017578125,3748.994140625,2651.63671875
1638298680000,8192,157.283203125,4283.2109375,3751.505859375,2652.232421875
1638298800000,8192,158.89453125,4283.591796875,3749.513671875,2651.681640625
1638298920000,8192,158.625,4283.607421875,3749.767578125,2651.615234375
1638299040000,8192,158.3046875,4283.60546875,3750.08984375,2651.67578125
1638299160000,8192,157.44140625,4283.69921875,3750.859375,2651.685546875
1638299280000,8192,156.810546875,4283.830078125,3751.359375,2651.703125
1638299400000,8192,156.82421875,4283.83984375,3751.3359375,2651.65625
1638299520000,8192,156.794921875,4283.845703125,3751.359375,2651.66015625
1638299640000,8192,156.767578125,4283.865234375,3751.3671875,2651.64453125
